segment,measure,start_beat,duration,chord,roman,function,melody_compatibility,functional_transition,persistence,cadence,local_score,path_score,alternatives
25,7,5/2,3/2,C,V,dominant,0.9051724137931035,0.8,0.55,0.0,0.7075862068965518,16.20765915119363,"[{""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.751551724137931, ""path_score"": 16.251624668435014}, {""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.7325862068965519, ""path_score"": 16.232659151193634}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.7075862068965518, ""path_score"": 16.20765915119363}]"
26,7,4,3/2,Dm,vi,tonic,1.0,1.0,0.55,0.0,0.805,17.01265915119363,"[{""chord"": ""F"", ""roman"": ""I"", ""local_score"": 0.805, ""path_score"": 17.01265915119363}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.7374999999999999, ""path_score"": 16.989124668435014}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.6925, ""path_score"": 16.944124668435013}]"
27,7,11/2,3/2,Dm,vi,tonic,0.0,0.65,1.0,0.0,0.2625,17.27515915119363,"[{""chord"": ""F"", ""roman"": ""I"", ""local_score"": 0.2625, ""path_score"": 17.27515915119363}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 17.226624668435015}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.23750000000000002, ""path_score"": 17.181624668435013}]"
28,8,1,3/2,Dm,vi,tonic,1.0,0.65,1.0,0.0,0.7625,18.03765915119363,"[{""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.78, ""path_score"": 18.05515915119363}, {""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.78, ""path_score"": 18.05515915119363}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 18.05515915119363}]"
29,8,5/2,3/2,Gm,ii,predominant,1.0,0.9,0.55,0.0,0.78,18.81765915119363,"[{""chord"": ""Edim"", ""roman"": ""vii°"", ""local_score"": 0.805, ""path_score"": 18.86015915119363}, {""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.805, ""path_score"": 18.86015915119363}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.7744444444444444, ""path_score"": 18.829603595638076}]"
30,8,4,3/2,Edim,vii°,dominant,0.8625,1.0,0.55,0.0,0.7362500000000001,19.55390915119363,"[{""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.7362500000000001, ""path_score"": 19.55390915119363}, {""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.6687500000000001, ""path_score"": 19.48640915119363}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.6687500000000001, ""path_score"": 19.48640915119363}]"
31,8,11/2,3/2,Edim,vii°,dominant,0.0,0.55,1.0,0.0,0.23750000000000002,19.79140915119363,"[{""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.23750000000000002, ""path_score"": 19.79140915119363}, {""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.23750000000000002, ""path_score"": 19.72390915119363}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 19.72390915119363}]"
32,9,1,3/2,F,I,tonic,1.0,1.0,0.55,0.0,0.805,20.59640915119363,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.805, ""path_score"": 20.59640915119363}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.8015189873417722, ""path_score"": 20.525428138535403}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.8015189873417722, ""path_score"": 20.525428138535403}]"
33,9,5/2,3/2,F,I,tonic,0.97,0.65,1.0,0.0,0.7474999999999999,21.34390915119363,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.6675, ""path_score"": 21.26390915119363}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7300000000000001, ""path_score"": 21.255428138535404}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.6000000000000001, ""path_score"": 21.19640915119363}]"
34,9,4,3/2,B-,IV,predominant,1.0,0.9,0.55,0.0,0.78,22.12390915119363,"[{""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 22.12390915119363}, {""chord"": ""F"", ""roman"": ""I"", ""local_score"": 0.7625, ""path_score"": 22.106409151193628}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7175, ""path_score"": 22.06140915119363}]"
35,9,11/2,3/2,B-,IV,predominant,0.0,0.55,1.0,0.0,0.23750000000000002,22.36140915119363,"[{""chord"": ""F"", ""roman"": ""I"", ""local_score"": 0.2625, ""path_score"": 22.368909151193627}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 22.36140915119363}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.2625, ""path_score"": 22.32390915119363}]"
36,10,1,3/2,Edim,vii°,dominant,0.914655172413793,1.0,0.55,0.0,0.7623275862068966,23.123736737400527,"[{""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.7623275862068966, ""path_score"": 23.123736737400527}, {""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.7373275862068965, ""path_score"": 23.106236737400522}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.7373275862068965, ""path_score"": 23.106236737400522}]"
37,10,5/2,3/2,Am,iii,tonic,0.9388888888888888,1.0,0.55,0.0,0.7744444444444444,23.898181181844972,"[{""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.7744444444444444, ""path_score"": 23.880681181844967}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.7744444444444444, ""path_score"": 23.880681181844967}, {""chord"": ""Edim"", ""roman"": ""vii°"", ""local_score"": 0.7744444444444444, ""path_score"": 23.880681181844967}]"
38,10,4,3/2,C,V,dominant,1.0,0.8,0.55,0.0,0.755,24.65318118184497,"[{""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.755, ""path_score"": 24.65318118184497}, {""chord"": ""Edim"", ""roman"": ""vii°"", ""local_score"": 0.755, ""path_score"": 24.65318118184497}, {""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.755, ""path_score"": 24.65318118184497}]"
39,10,11/2,3/2,C,V,dominant,0.0,0.55,1.0,0.0,0.23750000000000002,24.890681181844972,"[{""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.23750000000000002, ""path_score"": 24.890681181844972}, {""chord"": ""Edim"", ""roman"": ""vii°"", ""local_score"": 0.23750000000000002, ""path_score"": 24.890681181844972}, {""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.23750000000000002, ""path_score"": 24.890681181844972}]"
40,11,1,3/2,F,I,tonic,1.0,1.0,0.55,0.0,0.805,25.69568118184497,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.805, ""path_score"": 25.69568118184497}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.6458333333333334, ""path_score"": 25.536514515178304}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.6458333333333334, ""path_score"": 25.536514515178304}]"
41,11,5/2,3/2,F,I,tonic,1.0,0.65,1.0,0.0,0.7625,26.45818118184497,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.7625, ""path_score"": 26.45818118184497}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7175, ""path_score"": 26.413181181844973}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.505, ""path_score"": 26.20068118184497}]"
42,11,4,3/2,F,I,tonic,0.0,0.65,1.0,0.0,0.2625,26.72068118184497,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.2625, ""path_score"": 26.72068118184497}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.2625, ""path_score"": 26.675681181844972}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.23750000000000002, ""path_score"": 26.43818118184497}]"
43,11,11/2,3/2,F,I,tonic,0.0,0.65,1.0,0.0,0.2625,26.98318118184497,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.2625, ""path_score"": 26.98318118184497}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.2625, ""path_score"": 26.93818118184497}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.23750000000000002, ""path_score"": 26.675681181844972}]"
44,12,1,3/2,Edim7,viiø7,dominant,1.0,0.8,0.55,0.0,0.755,27.73818118184497,"[{""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.78, ""path_score"": 27.76318118184497}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 27.76318118184497}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.7752586206896552, ""path_score"": 27.758439802534625}]"
45,12,5/2,3/2,Am,iii,tonic,1.0,1.0,0.55,0.0,0.805,28.543181181844968,"[{""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.805, ""path_score"": 28.56818118184497}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.805, ""path_score"": 28.56818118184497}, {""chord"": ""Edim"", ""roman"": ""vii°"", ""local_score"": 0.805, ""path_score"": 28.56818118184497}]"
46,12,4,3/2,Am,iii,tonic,0.0,0.65,1.0,0.0,0.2625,28.805681181844967,"[{""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.23750000000000002, ""path_score"": 28.80568118184497}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.23750000000000002, ""path_score"": 28.80568118184497}, {""chord"": ""Edim"", ""roman"": ""vii°"", ""local_score"": 0.23750000000000002, ""path_score"": 28.80568118184497}]"
47,12,11/2,3/2,Am,iii,tonic,0.0,0.65,1.0,0.0,0.2625,29.068181181844967,"[{""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.23750000000000002, ""path_score"": 29.04318118184497}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.23750000000000002, ""path_score"": 29.04318118184497}, {""chord"": ""Edim"", ""roman"": ""vii°"", ""local_score"": 0.23750000000000002, ""path_score"": 29.04318118184497}]"
